Metro,datetime,isPartial,LGBT,Same sex marriage,They,Pronouns,Starbucks,rel_pop_LGBT,rel_pop_Same sex marriage,rel_pop_They,rel_pop_Pronouns,rel_pop_Starbucks
Worcester,2019-07-01,False,57.142857142857146,0.0,77.0,33.333333333333336,87.93103448275862,7.0,5.0,100.0,3.0,58.0
Worcester,2019-08-01,False,42.857142857142854,0.0,72.0,33.333333333333336,82.75862068965517,7.0,5.0,100.0,3.0,58.0
Worcester,2019-09-01,False,42.857142857142854,0.0,76.0,100.0,77.58620689655173,7.0,5.0,100.0,3.0,58.0
Worcester,2019-10-01,False,57.142857142857146,20.0,78.0,100.0,75.86206896551724,7.0,5.0,100.0,3.0,58.0
Worcester,2019-11-01,False,42.857142857142854,0.0,82.0,100.0,94.82758620689656,7.0,5.0,100.0,3.0,58.0
Worcester,2019-12-01,False,42.857142857142854,0.0,80.0,66.66666666666667,86.20689655172414,7.0,5.0,100.0,3.0,58.0
Worcester,2020-01-01,False,42.857142857142854,0.0,87.0,100.0,74.13793103448276,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-01-01,False,28.571428571428573,20.0,61.0,66.66666666666667,50.0,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-02-01,False,28.571428571428573,20.0,65.0,66.66666666666667,53.44827586206897,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-03-01,False,28.571428571428573,20.0,67.0,66.66666666666667,51.724137931034484,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-04-01,False,28.571428571428573,20.0,59.0,66.66666666666667,55.172413793103445,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-05-01,False,28.571428571428573,20.0,66.0,33.333333333333336,63.793103448275865,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-06-01,False,28.571428571428573,20.0,65.0,33.333333333333336,58.62068965517241,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-07-01,False,28.571428571428573,20.0,60.0,0.0,56.89655172413793,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-08-01,False,14.285714285714286,20.0,57.0,33.333333333333336,60.3448275862069,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-09-01,False,28.571428571428573,20.0,61.0,100.0,56.89655172413793,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-10-01,False,28.571428571428573,20.0,65.0,100.0,51.724137931034484,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-11-01,False,42.857142857142854,20.0,65.0,66.66666666666667,67.24137931034483,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2014-12-01,False,28.571428571428573,20.0,62.0,100.0,67.24137931034483,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-01-01,False,28.571428571428573,0.0,68.0,66.66666666666667,58.62068965517241,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-02-01,False,42.857142857142854,20.0,62.0,100.0,56.89655172413793,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-03-01,False,42.857142857142854,20.0,65.0,66.66666666666667,58.62068965517241,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-04-01,False,42.857142857142854,20.0,63.0,66.66666666666667,63.793103448275865,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-05-01,False,28.571428571428573,20.0,68.0,100.0,62.06896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-06-01,False,57.142857142857146,100.0,63.0,100.0,56.89655172413793,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-07-01,False,28.571428571428573,20.0,61.0,33.333333333333336,53.44827586206897,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-08-01,False,28.571428571428573,0.0,56.0,33.333333333333336,55.172413793103445,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-09-01,False,42.857142857142854,0.0,64.0,100.0,53.44827586206897,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-10-01,False,42.857142857142854,20.0,71.0,100.0,60.3448275862069,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-11-01,False,42.857142857142854,0.0,68.0,100.0,89.65517241379311,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2015-12-01,False,28.571428571428573,0.0,67.0,100.0,72.41379310344827,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-01-01,False,28.571428571428573,0.0,74.0,100.0,65.51724137931035,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-02-01,False,42.857142857142854,20.0,74.0,66.66666666666667,62.06896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-03-01,False,57.142857142857146,20.0,79.0,66.66666666666667,60.3448275862069,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-04-01,False,71.42857142857143,20.0,82.0,66.66666666666667,63.793103448275865,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-05-01,False,57.142857142857146,0.0,75.0,66.66666666666667,70.6896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-06-01,False,85.71428571428571,0.0,71.0,66.66666666666667,81.03448275862068,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-07-01,False,42.857142857142854,0.0,64.0,0.0,77.58620689655173,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-08-01,False,28.571428571428573,20.0,64.0,33.333333333333336,68.96551724137932,7.0,5.0,100.0,3.0,58.0
