Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
Helena,2014-03-01,74,20,6,0,0
Bozeman,2014-03-01,74,4,18,0,4
Missoula,2014-03-01,91,0,9,0,0
Kalispell,2014-03-01,91,0,9,0,0
Rockford,2014-03-01,70,1,21,2,6
St. Louis,2014-03-01,78,0,21,1,0
Kansas City,2014-03-01,78,0,21,0,1
Joplin,2014-03-01,77,2,19,0,2
ColumbiaMO,2014-03-01,88,0,11,1,0
Manhattan,2014-03-01,83,2,14,0,1
Topeka,2014-03-01,83,2,14,0,1
Wichita,2014-03-01,74,0,26,0,0
Little Rock-North Little Rock-Conway,2014-03-01,78,0,21,0,1
Fayetteville-Springdale-Rogers,2014-03-01,84,1,13,0,2
Oklahoma City,2014-03-01,81,0,18,0,1
Dallas-Fort Worth-Arlington,2014-03-01,77,0,22,1,0
Tyler,2014-03-01,89,1,9,1,0
Killeen-Temple,2014-03-01,76,0,23,0,1
Houston-The Woodlands-Sugar Land,2014-03-01,82,1,17,0,0
College Station-Bryan,2014-03-01,76,0,23,0,1
San Antonio-New Braunfels,2014-03-01,71,0,28,1,0
Brownsville-Harlingen,2014-03-01,81,0,19,0,0
Austin-Round Rock,2014-03-01,78,0,21,0,1
El Paso,2014-03-01,75,2,19,1,3
Denver-Aurora-Lakewood,2014-03-01,78,1,21,0,0
Boulder,2014-03-01,78,1,21,0,0
Colorado Springs,2014-03-01,80,0,20,0,0
Salt Lake City,2014-03-01,85,1,14,0,0
Ogden-Clearfield,2014-03-01,85,1,14,0,0
Phoenix-Mesa-Scottsdale,2014-03-01,77,0,21,0,2
Tucson,2014-03-01,80,0,19,0,1
Prescott,2014-03-01,77,0,21,0,2
Albuquerque,2014-03-01,79,0,19,0,2
Las Vegas-Henderson-Paradise,2014-03-01,79,0,20,0,1
Reno,2014-03-01,77,0,22,1,0
Los Angeles-Long Beach-Anaheim,2014-03-01,77,0,21,1,1
Riverside-San Bernardino-Ontario,2014-03-01,77,0,21,1,1
San Diego-Carlsbad,2014-03-01,82,0,18,0,0
Oxnard-Thousand Oaks-Ventura,2014-03-01,77,0,21,1,1
Bakersfield,2014-03-01,75,2,22,0,1
Salinas,2014-03-01,81,0,19,0,0
San Francisco-Oakland-Hayward,2014-03-01,81,1,18,0,0
San Jose-Sunnyvale-Santa Clara,2014-03-01,81,1,18,0,0
Stockton-Lodi,2014-03-01,82,0,17,1,0
Sacramento--Roseville--Arden-Arcade,2014-03-01,82,0,17,1,0
Chico,2014-03-01,80,1,18,0,1
Urban Honolulu,2014-03-01,81,3,16,0,0
Portland-Vancouver-Hillsboro,2014-03-01,80,1,17,1,1
Eugene,2014-03-01,82,1,17,0,0
Medford,2014-03-01,73,1,25,0,1
Seattle-Tacoma-Bellevue,2014-03-01,80,1,18,1,0
Spokane-Spokane Valley,2014-03-01,82,2,16,0,0
Anchorage,2014-03-01,82,0,17,0,1
Springfield,2014-04-01,84,2,14,0,0
Worcester,2014-04-01,83,1,16,0,0
Boston-Cambridge-Newton,2014-04-01,83,1,16,0,0
Providence-Warwick,2014-04-01,82,1,16,0,1
Manchester-Nashua,2014-04-01,83,1,16,0,0
Concord,2014-04-01,83,1,16,0,0
Portland-South Portland,2014-04-01,84,3,13,0,0
Lewiston-Auburn,2014-04-01,84,3,13,0,0
Bangor,2014-04-01,80,9,11,0,0
Augusta-Waterville,2014-04-01,77,1,22,0,0
Hartford-West Hartford-East Hartford,2014-04-01,83,2,15,0,0
Norwich-New London,2014-04-01,83,2,15,0,0
New Haven-Milford,2014-04-01,83,2,15,0,0
Bridgeport-Stamford-Norwalk,2014-04-01,83,2,15,0,0
Torrington,2014-04-01,83,2,15,0,0
New York-Newark-Jersey City,2014-04-01,81,2,17,0,0
Albany-Schenectady-Troy,2014-04-01,83,2,14,0,1
Kingston,2014-04-01,83,2,14,0,1
Syracuse,2014-04-01,79,2,18,0,1
Utica-Rome,2014-04-01,84,3,13,0,0
Watertown-Fort Drum,2014-04-01,75,8,17,0,0
Binghamton,2014-04-01,89,0,10,1,0
Batavia,2014-04-01,84,1,15,0,0
Buffalo-Cheektowaga-Niagara Falls,2014-04-01,84,1,15,0,0
Rochester,2014-04-01,84,1,15,0,0
Jamestown-Dunkirk-Fredonia,2014-04-01,81,0,18,1,0
Ithaca,2014-04-01,72,3,25,0,0
Pittsburgh,2014-04-01,82,1,16,1,0
Warren,2014-04-01,81,0,18,1,0
Erie,2014-04-01,81,0,18,1,0
