Metro,datetime,term_techno,term_Techno
Kansas City,2014-05-01,50,50
Joplin,2014-05-01,0,0
ColumbiaMO,2014-05-01,50,50
Manhattan,2014-05-01,50,50
Topeka,2014-05-01,50,50
Wichita,2014-05-01,50,50
Little Rock-North Little Rock-Conway,2014-05-01,50,50
Fayetteville-Springdale-Rogers,2014-05-01,50,50
Oklahoma City,2014-05-01,50,50
Dallas-Fort Worth-Arlington,2014-05-01,50,50
Tyler,2014-05-01,0,0
Killeen-Temple,2014-05-01,50,50
Houston-The Woodlands-Sugar Land,2014-05-01,50,50
College Station-Bryan,2014-05-01,50,50
San Antonio-New Braunfels,2014-05-01,50,50
Brownsville-Harlingen,2014-05-01,0,0
Austin-Round Rock,2014-05-01,50,50
El Paso,2014-05-01,50,50
Denver-Aurora-Lakewood,2014-05-01,50,50
Boulder,2014-05-01,50,50
Colorado Springs,2014-05-01,50,50
Salt Lake City,2014-05-01,50,50
