Metro,datetime,isPartial,Job opportunities,Unemployment,Retirement,Layoff,Starbucks,rel_pop_Job opportunities,rel_pop_Unemployment,rel_pop_Retirement,rel_pop_Layoff,rel_pop_Starbucks
Worcester,2018-08-01,False,60.0,30.0,63.63636363636363,33.333333333333336,75.86206896551724,5.0,100.0,44.0,3.0,87.0
Worcester,2018-09-01,False,60.0,25.0,70.45454545454545,66.66666666666667,70.11494252873563,5.0,100.0,44.0,3.0,87.0
Worcester,2018-10-01,False,40.0,27.0,56.81818181818182,33.333333333333336,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Worcester,2018-11-01,False,40.0,35.0,56.81818181818182,33.333333333333336,75.86206896551724,5.0,100.0,44.0,3.0,87.0
Worcester,2018-12-01,False,40.0,33.0,52.27272727272727,66.66666666666667,85.05747126436782,5.0,100.0,44.0,3.0,87.0
Worcester,2019-01-01,False,40.0,43.0,70.45454545454545,33.333333333333336,74.71264367816092,5.0,100.0,44.0,3.0,87.0
Worcester,2019-02-01,False,40.0,37.0,68.18181818181819,33.333333333333336,70.11494252873563,5.0,100.0,44.0,3.0,87.0
Worcester,2019-03-01,False,60.0,34.0,72.72727272727273,100.0,75.86206896551724,5.0,100.0,44.0,3.0,87.0
Worcester,2019-04-01,False,20.0,28.0,81.81818181818181,33.333333333333336,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Worcester,2019-05-01,False,60.0,24.0,59.09090909090909,33.333333333333336,100.0,5.0,100.0,44.0,3.0,87.0
Worcester,2019-06-01,False,40.0,30.0,68.18181818181819,66.66666666666667,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Worcester,2019-07-01,False,60.0,32.0,75.0,33.333333333333336,87.35632183908046,5.0,100.0,44.0,3.0,87.0
Worcester,2019-08-01,False,40.0,27.0,77.27272727272727,33.333333333333336,82.75862068965517,5.0,100.0,44.0,3.0,87.0
Worcester,2019-09-01,False,40.0,28.0,63.63636363636363,66.66666666666667,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Worcester,2019-10-01,False,40.0,28.0,63.63636363636363,33.333333333333336,74.71264367816092,5.0,100.0,44.0,3.0,87.0
