Metro,datetime,isPartial,home for rent,house for rent,townhome for rent,townhouse for rent,starbucks,rel_pop_home for rent,rel_pop_house for rent,rel_pop_townhome for rent,rel_pop_townhouse for rent,rel_pop_starbucks
Boston-Cambridge-Newton,2018-09-01,False,40.0,64.28571428571429,,100.0,71.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-10-01,False,40.0,64.28571428571429,,0.0,67.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-11-01,False,20.0,50.0,,0.0,73.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-12-01,False,40.0,64.28571428571429,,0.0,80.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-01-01,False,60.0,64.28571428571429,,100.0,71.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-02-01,False,40.0,85.71428571428571,,0.0,67.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-03-01,False,40.0,78.57142857142857,,0.0,71.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-04-01,False,60.0,85.71428571428571,,0.0,74.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-05-01,False,60.0,64.28571428571429,,100.0,100.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-06-01,False,60.0,64.28571428571429,,0.0,79.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-07-01,False,60.0,64.28571428571429,,0.0,83.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-08-01,False,60.0,64.28571428571429,,0.0,82.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-09-01,False,40.0,64.28571428571429,,100.0,83.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-10-01,False,20.0,57.142857142857146,,0.0,72.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-11-01,False,40.0,50.0,,0.0,91.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2019-12-01,False,40.0,35.714285714285715,,0.0,90.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2020-01-01,False,60.0,42.857142857142854,,100.0,72.0,5.0,14.0,0.0,1.0,100.0
Providence-Warwick,2014-01-01,False,33.333333333333336,16.0,,,58.0,6.0,25.0,0.0,0.0,100.0
Providence-Warwick,2014-02-01,False,16.666666666666668,52.0,,,47.0,6.0,25.0,0.0,0.0,100.0
Providence-Warwick,2014-03-01,False,0.0,36.0,,,39.0,6.0,25.0,0.0,0.0,100.0
Providence-Warwick,2014-04-01,False,100.0,80.0,,,54.0,6.0,25.0,0.0,0.0,100.0
Providence-Warwick,2014-05-01,False,83.33333333333333,60.0,,,59.0,6.0,25.0,0.0,0.0,100.0
Providence-Warwick,2014-06-01,False,33.333333333333336,52.0,,,49.0,6.0,25.0,0.0,0.0,100.0
Providence-Warwick,2014-07-01,False,50.0,8.0,,,48.0,6.0,25.0,0.0,0.0,100.0
Providence-Warwick,2014-08-01,False,100.0,56.0,,,44.0,6.0,25.0,0.0,0.0,100.0
